Player Name,Club,League,Nationality,Age,Height (cm),Weight (Kg)
Víctor Ibarbo,Sagan Tosu,Meiji Yasuda J1 League,Colombia,28,188,79
Jón Guðni Fjóluson,IFK Norrköping,Allsvenskan,Iceland,29,191,86
Abraham González Casanova,Lobos B.U.A.P.,LIGA Bancomer MX,Spain,33,178,80
Michael Rangel,Atlético Bucaramanga,Liga Dimayor,Colombia,27,185,80
Mark Milligan,Hibernian,Scottish Premiership,Australia,33,178,78
Steven Naismith,Heart of Midlothian,Scottish Premiership,Scotland,32,178,72
Geovanni Banguera,Atlético Huila,Liga Dimayor,Colombia,22,187,80
Andrés Cubas,Club Atlético Talleres,SAF,Argentina,22,169,60
Jordan Jones,Kilmarnock,Scottish Premiership,Northern Ireland,23,174,61
Kris Boyd,Kilmarnock,Scottish Premiership,Scotland,35,185,83
Kasper Kusk,Aalborg BK,Superliga,Denmark,26,180,67
Jacob Rinne,Aalborg BK,Superliga,Sweden,25,187,81
Jores Okore,Aalborg BK,Superliga,Denmark,26,183,80
Mikkel Rygaard Jensen,FC Nordsjælland,Superliga,Denmark,27,179,73
Rogério de A. S. Coutinho,Al Faisaly,Saudi Professional League,Brazil,31,176,70
Omar Pérez,Patriotas Boyacá FC,Liga Dimayor,Argentina,37,180,82
Sten Michael Grytebust,Odense Boldklub,Superliga,Norway,28,185,82
Oliver Kragl,Foggia,Calcio B,Germany,28,180,77
Cristian Galano,Foggia,Calcio B,Italy,27,170,69
Manuel Iori,Cittadella,Calcio B,Italy,36,182,72
Jehad Al Hussien,Al Taawoun,Saudi Professional League,Syria,36,168,63
Alexander Gerndt,FC Lugano,Raiffeisen Super League,Sweden,32,184,80
Petar Brlek,FC Lugano,Raiffeisen Super League,Croatia,24,180,74
Isaías Sánchez Cortes,Adelaide United,Hyundai A-League,Spain,31,173,71
Mirko Boland,Adelaide United,Hyundai A-League,Germany,31,174,70
Roy Krishna,Wellington Phoenix,Hyundai A-League,Fiji,31,170,70
Shunsuke Nakamura,Júbilo Iwata,Meiji Yasuda J1 League,Japan,40,178,71
Óscar Opazo,CD Viñazur,Campeonato Scotiabank,Chile,27,169,72
Claudio Baeza,CD Viñazur,Campeonato Scotiabank,Chile,24,171,64
Johan Arango,Al Batin,Saudi Professional League,Colombia,27,180,82
Roberto Gutiérrez,CD Palestino,Campeonato Scotiabank,Chile,35,178,76
Patricio Rubio,CD Everton de Viña del Mar,Campeonato Scotiabank,Chile,29,174,74
Arsen Khubulov,Büyük?ehir Belediye Erzurumspor,Süper Lig,Russia,27,181,74
Thibault Moulin,MKE Ankaragücü,Süper Lig,France,28,174,75
Samir Ujkani,Çaykur Rizespor,Süper Lig,Kosovo,30,188,87
Mustafa Saymak,Çaykur Rizespor,Süper Lig,Holland,25,169,63
Matías Dituro,Universidad Católica,Campeonato Scotiabank,Argentina,31,191,90
Luciano Aued,Universidad Católica,Campeonato Scotiabank,Argentina,31,182,81
Amaral Alves Marcos Vinicius,GyeongNam FC,K LEAGUE Classic,Brazil,24,196,87
Sebastião de Freitas Couto,Chongqing Lifan FC,CSL,Brazil,26,179,73
Duvier Riascos,Dalian Yifang FC,CSL,Colombia,32,180,73
Taiseer Al Jassam,Al Wehda,Saudi Professional League,Saudi Arabia,34,169,69
Musashi Suzuki,V-Varen Nagasaki,Meiji Yasuda J1 League,Japan,24,185,74
Sergio Vittor,CD Universidad de Concepción,Campeonato Scotiabank,Argentina,29,189,86
Hugo Droguett,CD Universidad de Concepción,Campeonato Scotiabank,Chile,36,172,70
Boyang Su,Guizhou Hengfeng FC,CSL,China PR,29,185,74
Ricardo Vaz Tê,Henan Jianye FC,CSL,Portugal,32,188,80
Luis Gonzalo Bustamante,Deportes Iquique,Campeonato Scotiabank,Argentina,32,170,67
Luis Eduardo Delgado Pacheco,Rayo Majadahonda,LaLiga 1 I 2 I 3,Spain,33,183,75
Özer Hurmac?,Büyük?ehir Belediye Erzurumspor,Süper Lig,Turkey,31,174,70
Cheng Zeng,Guangzhou Evergrande Taobao,CSL,China PR,31,192,80
Junmin Hao,Shandong Luneng Taishan,CSL,China PR,31,181,74
Hanchao Yu,Guangzhou Evergrande Taobao,CSL,China PR,31,179,70
Ale Hruka,Viktoria Plze?,?eská Liga,Czech Republic,32,192,88
Ali Çamdal?,Çaykur Rizespor,Süper Lig,Germany,34,186,75
Josef Hubauer,Slavia Praha,?eská Liga,Czech Republic,28,182,76
Osama Hawsawi,Al Wehda,Saudi Professional League,Saudi Arabia,34,188,83
Tongo Doumbia,GNK Dinamo Zagreb,Liga Hrvatska,Mali,29,192,83
Marin Leovac,GNK Dinamo Zagreb,Liga Hrvatska,Croatia,30,180,71
Írven Ávila,Monarcas Morelia,LIGA Bancomer MX,Peru,28,167,68
Juan Ezequiel Cuevas,CD Everton de Viña del Mar,Campeonato Scotiabank,Argentina,30,161,63
Jeong Ho Hong,Jeonbuk Hyundai Motors,K LEAGUE Classic,Korea Republic,29,188,77
Ond?ej Zahustel,Sparta Praha,?eská Liga,Czech Republic,27,187,77
Luís Leal dos Anjos,Newell's Old Boys,SAF,São Tomé e Príncipe,31,176,70
Romário Ricardo da Silva,Al Ittihad,Saudi Professional League,Brazil,27,174,69
Alejandro Chumacero,Puebla,LIGA Bancomer MX,Bolivia,27,164,65
Süleyman Koç,Çaykur Rizespor,Süper Lig,Germany,29,178,80
Iván Arboleda,Club Atlético Banfield,SAF,Colombia,22,182,80
Sherman Cárdenas,Atlético Bucaramanga,Liga Dimayor,Colombia,29,168,65
Nicolás Aguirre,Granada CF,LaLiga 1 I 2 I 3,Argentina,28,180,78
Leonardo Sigali,Racing Club,SAF,Argentina,31,181,72
Alexis Martín Arias,Gimnasia y Esgrima La Plata,SAF,Argentina,26,185,80
Mislav Ori?,GNK Dinamo Zagreb,Liga Hrvatska,Croatia,25,179,69
Germán Lanaro,Universidad Católica,Campeonato Scotiabank,Argentina,32,186,84
Mario itum,GNK Dinamo Zagreb,Liga Hrvatska,Croatia,26,177,76
Junling Yan,Shanghai SIPG FC,CSL,China PR,27,191,83
Peter Olayinka,Slavia Praha,?eská Liga,Nigeria,22,188,77
Murilo de Souza Costa,SC Braga,Liga NOS,Brazil,23,178,72
Pablo Aránguiz,FC Dallas,Major League Soccer,Chile,21,172,65
Vladyslav Kalitvintsev,FC Dynamo Kyiv,Ukrayina Liha,Ukraine,25,178,68
Alexis Castro,San Lorenzo de Almagro,SAF,Argentina,23,183,71
João Pedro da Costa Gamboa,CS Marítimo,Liga NOS,Portugal,22,187,80
Leonardo Gamalho de Souza,Pohang Steelers,K LEAGUE Classic,Brazil,32,189,93
Agustín Bouzat,Vélez Sarsfield,SAF,Argentina,24,173,70
Jadon Sancho,Borussia Dortmund,Bundesliga,England,18,180,76
Amr Warda,PAOK,Hellas Liga,Egypt,25,179,77
Jacinto Muondo Dala,Rio Ave FC,Liga NOS,Angola,22,175,65
Matías Zaracho,Racing Club,SAF,Argentina,20,171,64
Jaromír Zmrhal,Slavia Praha,?eská Liga,Czech Republic,25,189,79
Michael Ngadeu-Ngadjui,Slavia Praha,?eská Liga,Cameroon,27,190,93
Luká Pokorný,Slavia Praha,?eská Liga,Czech Republic,25,190,86
Amir Abedzadeh,CS Marítimo,Liga NOS,Iran,25,186,80
Luká tetina,Sparta Praha,?eská Liga,Slovakia,27,185,85
Nicolás De la Cruz,River Plate,SAF,Uruguay,21,167,65
Roman Yaremchuk,KAA Gent,Belgium Pro League,Ukraine,22,190,79
Jakov Filipovi?,Sporting Lokeren,Belgium Pro League,Croatia,25,191,85
Dominik Livakovi?,GNK Dinamo Zagreb,Liga Hrvatska,Croatia,23,187,79
Rafael da Conceição Leão,LOSC Lille,Ligue 1 Conforama,Portugal,19,188,81
Diego Rossi,Los Angeles Football Club,Major League Soccer,Uruguay,20,170,68
Karlo Letica,Club Brugge KV,Belgium Pro League,Croatia,21,201,96
Artem Shabanov,FC Dynamo Kyiv,Ukrayina Liha,Ukraine,26,189,79
Scott McTominay,Manchester United,Premier League,Scotland,21,193,88
Oleksandr Zinchenko,Manchester City,Premier League,Ukraine,21,175,64
Josh Onomah,Tottenham Hotspur,Premier League,England,21,185,83
Ainsley Maitland-Niles,Arsenal,Premier League,England,21,177,71
Jonjoe Kenny,Everton,Premier League,England,21,176,67
Ken Sema,Watford,Premier League,Sweden,25,180,69
Jon Bautista Orgilles,Real Sociedad,LaLiga Santander,Spain,23,180,72
Borja Lasso De La Vega,Sevilla FC,LaLiga Santander,Spain,24,186,72
Justin Hoogma,TSG 1899 Hoffenheim,Bundesliga,Holland,20,190,81
Angus Gunn,Southampton,Premier League,England,22,196,77
Jan Bednarek,Southampton,Premier League,Poland,22,189,77
Mustafa Pektemek,Be?ikta? JK,Süper Lig,Turkey,30,182,72
Bartosz Kapustka,Leicester City,Premier League,Poland,21,179,67
Fousseni Diabaté,Leicester City,Premier League,Mali,22,175,60
Andy King,Leicester City,Premier League,Wales,29,184,79
Edimilson Fernandes,Fiorentina,Serie A TIM,Switzerland,22,190,70
Bartlomiej Dragowski,Fiorentina,Serie A TIM,Poland,21,188,74
Cuco Martina,Stoke City,EFL Championship,Curaçao,29,185,77
Saido Berahino,Stoke City,EFL Championship,England,25,180,82
Gerrit Holtmann,1. FSV Mainz 05,Bundesliga,Germany,23,183,77
Phillipp Mwene,1. FSV Mainz 05,Bundesliga,Austria,24,172,68
Alexander Alegría Moreno,Real Betis,LaLiga Santander,Spain,25,189,82
Felix Wiedwald,Eintracht Frankfurt,Bundesliga,Germany,28,190,82
Enrique González Casín,RC Deportivo,LaLiga 1 I 2 I 3,Spain,28,175,67
Domingos Sousa Menezes Duarte,RC Deportivo,LaLiga 1 I 2 I 3,Portugal,23,190,78
Daniel Giménez Hernández,RC Deportivo,LaLiga 1 I 2 I 3,Spain,35,182,77
Pedro Antonio Sánchez Moñino,RC Deportivo,LaLiga 1 I 2 I 3,Spain,31,175,74
Didier Moreno,RC Deportivo,LaLiga 1 I 2 I 3,Colombia,27,178,71
Jerónimo Figueroa Cabrera,UD Las Palmas,LaLiga 1 I 2 I 3,Spain,36,180,70
Javier Castellano Betancor,UD Las Palmas,LaLiga 1 I 2 I 3,Spain,30,180,71
Roderick J. Gonçalves Miranda,Olympiacos CFP,Hellas Liga,Portugal,27,193,90
Bersant Celina,Swansea City,EFL Championship,Kosovo,22,181,66
Oliver McBurnie,Swansea City,EFL Championship,Scotland,22,191,77
Wayne Routledge,Swansea City,EFL Championship,England,33,170,77
Georgiy Tigiev,Spartak Moscow,League of Russia,Russia,23,177,76
Atinç Nukan,RB Leipzig,Bundesliga,Turkey,25,196,86
Massimo Bruno,RB Leipzig,Bundesliga,Belgium,25,178,74
Boubacar Kamara,Olympique de Marseille,Ligue 1 Conforama,France,18,178,68
Oleg Danchenko,Shakhtar Donetsk,Ukrayina Liha,Ukraine,24,178,64
Olivier Boscagli,OGC Nice,Ligue 1 Conforama,France,20,181,68
Patrick Burner,OGC Nice,Ligue 1 Conforama,France,22,170,65
Mouez Hassen,OGC Nice,Ligue 1 Conforama,Tunisia,23,186,80
Ihsan Sacko,OGC Nice,Ligue 1 Conforama,France,21,183,70
Lyanco Neves Vojnovic,Torino,Serie A TIM,Brazil,21,187,75
Javier Ontiveros Parra,Málaga CF,LaLiga 1 I 2 I 3,Spain,21,172,68
Mehdi Lacen,Málaga CF,LaLiga 1 I 2 I 3,Algeria,34,176,60
Gustavo Blanco Leschuk,Málaga CF,LaLiga 1 I 2 I 3,Argentina,26,190,85
Thomas Kessler,1. FC Köln,Bundesliga 2,Germany,32,197,92
Pascal Köpke,Hertha BSC,Bundesliga,Germany,23,178,75
Connor Wickham,Crystal Palace,Premier League,England,25,191,90
Alexander Sørloth,Crystal Palace,Premier League,Norway,22,194,90
Julián Speroni,Crystal Palace,Premier League,Argentina,39,186,80
Julian Quiñones,Tigres U.A.N.L.,LIGA Bancomer MX,Colombia,21,177,76
Ezequiel Muñoz,CD Leganés,LaLiga Santander,Argentina,27,185,78
Gerard Gumbau Garriga,CD Leganés,LaLiga Santander,Spain,23,187,77
Marc Pugh,Bournemouth,Premier League,England,31,180,72
Christian Kouamé,Genoa,Serie A TIM,Côte d'Ivoire,20,185,70
Rick van Drongelen,Hamburger SV,Bundesliga 2,Holland,19,185,81
Léo Lacroix,Hamburger SV,Bundesliga 2,Switzerland,26,197,95
Alexandr Kolomeytsev,Lokomotiv Moscow,League of Russia,Russia,29,183,78
Phil Bardsley,Burnley,Premier League,Scotland,33,180,79
Bruno Zuculini,River Plate,SAF,Argentina,25,182,77
Germán Lux,River Plate,SAF,Argentina,36,185,77
Robin Gosens,Atalanta,Serie A TIM,Germany,24,183,76
Timothy Castagne,Atalanta,Serie A TIM,Belgium,22,185,80
Frank Boeckx,RSC Anderlecht,Belgium Pro League,Belgium,32,181,80
Giuseppe Pezzella,Udinese,Serie A TIM,Italy,20,187,85
Óscar Estupiñán,Vitória Guimarães,Liga NOS,Colombia,21,182,74
Tyler Boyd,Vitória Guimarães,Liga NOS,New Zealand,23,180,66
Joseph Larweh Attamah,Medipol Ba?ak?ehir FK,Süper Lig,Ghana,24,180,80
Manuel Marouan da Costa Senoussi,Medipol Ba?ak?ehir FK,Süper Lig,Morocco,32,191,84
Riad Bajic,Medipol Ba?ak?ehir FK,Süper Lig,Bosnia and Herzegovina,24,189,80
Soner Aydogdu,Medipol Ba?ak?ehir FK,Süper Lig,Turkey,27,180,72
Milan Gajic,FC Girondins de Bordeaux,Ligue 1 Conforama,Serbia,22,178,75
Jérôme Prior,FC Girondins de Bordeaux,Ligue 1 Conforama,France,23,187,86
Claud Adjapong,Sassuolo,Serie A TIM,Italy,20,180,74
Gianluca Pegolo,Sassuolo,Serie A TIM,Italy,37,183,76
Jérémie Boga,Sassuolo,Serie A TIM,Côte d'Ivoire,21,174,68
Fredrik Jensen,FC Augsburg,Bundesliga,Finland,21,183,80
Fabian Giefer,FC Augsburg,Bundesliga,Germany,28,196,93
Jan-Ingwer Callsen-Bracker,FC Augsburg,Bundesliga,Germany,34,188,84
Dong Won Ji,FC Augsburg,Bundesliga,Korea Republic,27,188,81
Panagiotis Glykos,PAOK,Hellas Liga,Greece,31,189,82
Stylianos Malezas,PAOK,Hellas Liga,Greece,33,192,76
Dimitris Limnios,PAOK,Hellas Liga,Greece,20,180,71
Yevhen Shakhov,PAOK,Hellas Liga,Ukraine,27,189,82
Kalifa Coulibaly,FC Nantes,Ligue 1 Conforama,Mali,27,197,87
Fábio Pereira da Silva,FC Nantes,Ligue 1 Conforama,Brazil,28,172,65
Kolbeinn Sigþórsson,FC Nantes,Ligue 1 Conforama,Iceland,28,187,87
Ibrahim Sangaré,Toulouse Football Club,Ligue 1 Conforama,Côte d'Ivoire,20,191,77
Issiaga Sylla,Toulouse Football Club,Ligue 1 Conforama,Guinea,24,180,75
Berkay Özcan,VfB Stuttgart,Bundesliga,Turkey,20,180,79
Víctor Salazar,San Lorenzo de Almagro,SAF,Argentina,25,175,67
Miiko Albornoz,Hannover 96,Bundesliga,Chile,27,180,80
Felipe Trevizan Martins,Hannover 96,Bundesliga,Brazil,31,193,90
Petar Skuletic,Montpellier Hérault SC,Ligue 1 Conforama,Serbia,28,192,89
Junior Sambia,Montpellier Hérault SC,Ligue 1 Conforama,France,22,185,73
Pedro López Muñoz,Levante UD,LaLiga Santander,Spain,34,174,72
Diego Ângelo de Oliveira,Antalyaspor,Süper Lig,Brazil,32,192,84
Jonathan González,Monterrey,LIGA Bancomer MX,Mexico,19,175,62
Yoann Andreu,Angers SCO,Ligue 1 Conforama,France,29,178,70
Abdoulaye Bamba,Angers SCO,Ligue 1 Conforama,Côte d'Ivoire,28,182,72
Mathieu Michel,Angers SCO,Ligue 1 Conforama,France,27,189,84
Thomas Touré,Angers SCO,Ligue 1 Conforama,Côte d'Ivoire,24,175,73
Marcus Thuram,En Avant de Guingamp,Ligue 1 Conforama,France,21,192,88
Simone Padoin,Cagliari,Serie A TIM,Italy,34,179,73
Paolo Pancrazio Faragò,Cagliari,Serie A TIM,Italy,25,187,80
Justin Morrow,Toronto FC,Major League Soccer,United States,31,175,75
Ryan Bennett,Wolverhampton Wanderers,Premier League,England,28,188,78
Filippo Costa,SPAL,Serie A TIM,Italy,23,175,70
Vanja Milinkovic-Savic,SPAL,Serie A TIM,Serbia,21,202,92
Kevin Bonifazi,SPAL,Serie A TIM,Italy,22,187,85
Tim Kleindienst,Sport-Club Freiburg,Bundesliga,Germany,23,194,84
Amir Abrashi,Sport-Club Freiburg,Bundesliga,Albania,28,172,71
Robin Koch,Sport-Club Freiburg,Bundesliga,Germany,22,192,85
Marco Terrazzino,Sport-Club Freiburg,Bundesliga,Germany,27,177,77
Lucas Höler,Sport-Club Freiburg,Bundesliga,Germany,24,183,80
Yusuf Erdogan,Bursaspor,Süper Lig,Turkey,26,171,68
Emre Tasdemir,Bursaspor,Süper Lig,Turkey,23,176,70
Jonny Hayes,Celtic,Scottish Premiership,Republic of Ireland,31,173,70
Jozo imunovic,Celtic,Scottish Premiership,Bosnia and Herzegovina,24,190,85
Nir Bitton,Celtic,Scottish Premiership,Israel,26,194,82
Ryan Christie,Celtic,Scottish Premiership,Scotland,23,178,71
Colin Coosemans,KAA Gent,Belgium Pro League,Belgium,26,186,84
Giorgi Kvilitaia,KAA Gent,Belgium Pro League,Georgia,25,193,82
Evandro Goebel,Hull City,EFL Championship,Brazil,32,179,72
Tommy Elphick,Hull City,EFL Championship,England,31,187,85
Jackson Irvine,Hull City,EFL Championship,Australia,25,188,70
David Marshall,Hull City,EFL Championship,Scotland,33,190,83
Fernando Navarro,Club León,LIGA Bancomer MX,Mexico,29,165,62
Juan Cornejo,Club León,LIGA Bancomer MX,Chile,28,177,78
Pedro Aquino,Club León,LIGA Bancomer MX,Peru,23,174,70
Rui Pedro da Rocha Fonte,LOSC Lille,Ligue 1 Conforama,Portugal,28,179,73
Jonathan Bamba,LOSC Lille,Ligue 1 Conforama,France,22,175,72
Oscar Jiménez,Club América,LIGA Bancomer MX,Mexico,29,182,80
Henry Martín,Club América,LIGA Bancomer MX,Mexico,25,177,73
Óscar Pérez,Pachuca,LIGA Bancomer MX,Mexico,45,172,75
Robert Herrera,Pachuca,LIGA Bancomer MX,Uruguay,29,187,83
Sebastián Palacios,Pachuca,LIGA Bancomer MX,Argentina,26,170,69
Raúl López,Pachuca,LIGA Bancomer MX,Mexico,25,185,74
Emmanuel García,Pachuca,LIGA Bancomer MX,Mexico,28,170,66
Erick Aguirre,Pachuca,LIGA Bancomer MX,Mexico,21,172,65
Ángelo Sagal,Pachuca,LIGA Bancomer MX,Chile,25,179,77
Stefan Frei,Seattle Sounders FC,Major League Soccer,United States,32,191,88
Chad Marshall,Seattle Sounders FC,Major League Soccer,United States,34,193,86
Ángel Zaldívar,Guadalajara,LIGA Bancomer MX,Mexico,24,178,76
Jesús Sánchez,Guadalajara,LIGA Bancomer MX,Mexico,29,168,68
Carlos Cisneros,Guadalajara,LIGA Bancomer MX,Mexico,25,175,74
Walter Sandoval,Guadalajara,LIGA Bancomer MX,Mexico,22,170,66
Nicolás Pasquini,Club Atlético Lanús,SAF,Argentina,27,172,76
Facundo Monteseirín,Club Atlético Lanús,SAF,Argentina,23,184,82
Ritchie De Laet,Aston Villa,EFL Championship,Belgium,29,186,77
Alan Hutton,Aston Villa,EFL Championship,Scotland,33,185,73
André Campos Moreira,Aston Villa,EFL Championship,Portugal,22,194,84
Neil Taylor,Aston Villa,EFL Championship,Wales,29,175,75
Henri Lansbury,Aston Villa,EFL Championship,England,27,185,85
John McGinn,Aston Villa,EFL Championship,Scotland,23,175,68
Ross McCormack,Aston Villa,EFL Championship,Scotland,32,175,74
Antonio Caracciolo,Hellas Verona,Calcio B,Italy,28,185,83
Matteo Bianchetti,Hellas Verona,Calcio B,Italy,25,189,81
Umut Bulut,Kayserispor,Süper Lig,Turkey,35,184,75
Bilal Basaçikoglu,Kayserispor,Süper Lig,Turkey,23,173,70
Fernando H. Boldrin,Kayserispor,Süper Lig,Brazil,29,181,75
Cristian Sapunaru,Kayserispor,Süper Lig,Romania,34,187,81
Erik Morán Arribas,AEK Athens,Hellas Liga,Spain,27,187,74
Konstantinos Galanopoulos,AEK Athens,Hellas Liga,Greece,20,172,72
Nuno André da Silva Coelho,Chaves,Liga NOS,Portugal,32,192,82
Marcos Nascimento Teixeira,Chaves,Liga NOS,Brazil,22,185,81
Aboubakar Kamara,Fulham,Premier League,France,23,177,81
Abdullah Ateef,Al Hilal,Saudi Professional League,Saudi Arabia,26,176,63
Elias Kachunga,Huddersfield Town,Premier League,Congo DR,26,178,74
Danny Williams,Huddersfield Town,Premier League,United States,29,182,80
Andrés Rentería,Cruz Azul,LIGA Bancomer MX,Colombia,25,179,79
Walter Montoya,Cruz Azul,LIGA Bancomer MX,Argentina,25,175,73
Julio César Domínguez,Cruz Azul,LIGA Bancomer MX,Mexico,30,175,73
Rafael Baca,Cruz Azul,LIGA Bancomer MX,Mexico,29,170,65
Alexis Henríquez,Atlético Nacional,Liga Dimayor,Colombia,35,192,94
Yerson Candelo,Atlético Nacional,Liga Dimayor,Colombia,26,170,68
Deiver Machado,Atlético Nacional,Liga Dimayor,Colombia,25,172,62
Sebastian Lletget,LA Galaxy,Major League Soccer,United States,26,178,75
Ashley Cole,LA Galaxy,Major League Soccer,England,37,176,66
Gonzalo Verón,Independiente,SAF,Argentina,28,178,76
Aridane Hernández Umpiérrez,CA Osasuna,LaLiga 1 I 2 I 3,Spain,29,186,77
Carlos Clerc Martínez,CA Osasuna,LaLiga 1 I 2 I 3,Spain,26,182,69
David Rodríguez Sánchez,CA Osasuna,LaLiga 1 I 2 I 3,Spain,32,178,75
Jon McLaughlin,Sunderland,EFL League One,Scotland,30,188,83
Gyrano Kerk,FC Utrecht,Eredivisie,Holland,22,175,68
Emil Bergström,FC Utrecht,Eredivisie,Sweden,25,188,87
Sean Klaiber,FC Utrecht,Eredivisie,Holland,24,184,76
Urby Emanuelson,FC Utrecht,Eredivisie,Holland,32,176,68
Stole Dimitrievski,Rayo Vallecano,LaLiga Santander,FYR Macedonia,24,188,81
José Antonio Dorado Ramírez,Rayo Vallecano,LaLiga Santander,Spain,36,180,70
Steven Mendoza,Amiens SC,Ligue 1 Conforama,Colombia,26,171,70
Mathieu Bodmer,Amiens SC,Ligue 1 Conforama,France,35,190,90
Víctor David Díaz Miguel,Granada CF,LaLiga 1 I 2 I 3,Spain,30,184,72
Alejandro Martínez Sánchez,Granada CF,LaLiga 1 I 2 I 3,Spain,28,176,67
Álvaro Vadillo Cifuentes,Granada CF,LaLiga 1 I 2 I 3,Spain,24,180,70
Adam Forshaw,Leeds United,EFL Championship,England,26,174,71
Patrick Bamford,Leeds United,EFL Championship,England,25,185,71
Kalvin Phillips,Leeds United,EFL Championship,England,22,178,72
Liam Cooper,Leeds United,EFL Championship,Scotland,27,188,73
Lewis Baker,Leeds United,EFL Championship,England,23,182,72
Larrys Mabiala,Portland Timbers,Major League Soccer,Congo DR,30,189,80
Benjamin Corgnet,RC Strasbourg Alsace,Ligue 1 Conforama,France,31,179,75
Bingourou Kamara,RC Strasbourg Alsace,Ligue 1 Conforama,France,21,193,84
Lionel Carole,RC Strasbourg Alsace,Ligue 1 Conforama,France,27,182,79
Joia Nuno Da Costa,RC Strasbourg Alsace,Ligue 1 Conforama,Cape Verde Islands,27,182,70
Jérémy Grimm,RC Strasbourg Alsace,Ligue 1 Conforama,France,31,181,69
Anthony Gonçalves,RC Strasbourg Alsace,Ligue 1 Conforama,France,32,178,79
Carlos Fierro,Monarcas Morelia,LIGA Bancomer MX,Mexico,24,175,70
Gabriel Achilier,Monarcas Morelia,LIGA Bancomer MX,Ecuador,33,179,85
Srdjan Plavic,Sparta Praha,?eská Liga,Serbia,22,166,60
Jonathan Mensah,Columbus Crew SC,Major League Soccer,Ghana,28,188,83
José Artur de Lima Junior,Columbus Crew SC,Major League Soccer,Brazil,22,181,68
Afonso Rebeiro Figueiredo,Rio Ave FC,Liga NOS,Portugal,25,171,64
Nuno Miguel Gomes dos Santos,Rio Ave FC,Liga NOS,Portugal,23,179,73
Giorgi Makaridze,Rio Ave FC,Liga NOS,Georgia,28,190,85
Nélson Macedo Monte,Rio Ave FC,Liga NOS,Portugal,23,187,78
Pablo Barrera,U.N.A.M.,LIGA Bancomer MX,Mexico,31,178,72
Miguel Fraga,U.N.A.M.,LIGA Bancomer MX,Mexico,31,184,83
Matías Rodríguez,Universidad de Chile,Campeonato Scotiabank,Argentina,32,178,75
Yeferson Soteldo,Universidad de Chile,Campeonato Scotiabank,Venezuela,21,160,55
Rafael Caroca,Universidad de Chile,Campeonato Scotiabank,Chile,29,174,72
Ivo Daniel F. Mendonça Pinto,Norwich City,EFL Championship,Portugal,28,184,70
Emiliano Buendía,Norwich City,EFL Championship,Argentina,21,170,65
Alexander Tettey,Norwich City,EFL Championship,Norway,32,180,68
Kenny McLean,Norwich City,EFL Championship,Scotland,26,183,70
Mario Vrancic,Norwich City,EFL Championship,Bosnia and Herzegovina,29,187,78
Teemu Pukki,Norwich City,EFL Championship,Finland,28,180,80
Ben Marshall,Norwich City,EFL Championship,England,27,180,83
Christoph Zimmermann,Norwich City,EFL Championship,Germany,25,194,92
Joey Pelupessy,Sheffield Wednesday,EFL Championship,Holland,25,172,63
Craig Gardner,Birmingham City,EFL Championship,England,31,176,81
Che Adams,Birmingham City,EFL Championship,England,22,178,66
Oussama Haddadi,Dijon FCO,Ligue 1 Conforama,Tunisia,26,184,85
Wesley Lautoa,Dijon FCO,Ligue 1 Conforama,New Caledonia,31,182,87
Georgios Tzavellas,Alanyaspor,Süper Lig,Greece,30,183,86
Mbilla Etame,Alanyaspor,Süper Lig,Cameroon,30,180,77
Dimitrios Kolovetsios,Panathinaikos FC,Hellas Liga,Greece,26,182,77
Ousmane Coulibaly,Panathinaikos FC,Hellas Liga,Mali,29,183,75
Mattias Johansson,Panathinaikos FC,Hellas Liga,Sweden,26,174,66
Emanuel Insúa,Panathinaikos FC,Hellas Liga,Argentina,27,182,82
Ergys Kace,Panathinaikos FC,Hellas Liga,Albania,25,170,62
Scott Malone,Derby County,EFL Championship,England,27,189,75
Cameron Jerome,Derby County,EFL Championship,England,31,185,85
Florian Jozefzoon,Derby County,EFL Championship,Holland,27,175,72
George Thorne,Derby County,EFL Championship,England,25,188,84
David Nugent,Derby County,EFL Championship,England,33,180,76
Thomas Ouwejan,AZ,Eredivisie,Holland,22,183,72
Dorin Rotariu,AZ,Eredivisie,Romania,23,180,72
Eric Mathoho,Kaizer Chiefs,South African FL,South Africa,28,190,76
Ramahlwe Mphahlele,Kaizer Chiefs,South African FL,South Africa,28,185,80
Christian Puggioni,Benevento,Calcio B,Italy,37,187,81
Roberto Insigne,Benevento,Calcio B,Italy,24,172,65
Antonio Nocerino,Benevento,Calcio B,Italy,33,175,75
Luca Antei,Benevento,Calcio B,Italy,26,188,77
Andres Tello,Benevento,Calcio B,Colombia,22,181,80
Massimo Coda,Benevento,Calcio B,Italy,29,184,72
Marlon Piedrahita,Junior FC,Liga Dimayor,Colombia,33,175,79
Sebastián Hernández,Junior FC,Liga Dimayor,Colombia,32,177,74
Erick Torres,Club Tijuana,LIGA Bancomer MX,Mexico,25,183,81
Julián Velázquez,Club Tijuana,LIGA Bancomer MX,Argentina,27,184,80
Luis Fuentes,Club Tijuana,LIGA Bancomer MX,Mexico,32,172,64
Erwin Zelazny,Stade Malherbe Caen,Ligue 1 Conforama,France,27,186,80
Zinho Gano,KRC Genk,Belgium Pro League,Belgium,24,198,91
Martín Barragán,Club Necaxa,LIGA Bancomer MX,Mexico,27,179,76
Hugo González,Club Necaxa,LIGA Bancomer MX,Mexico,28,185,82
